"Product.code","Station.number","Year","Month","Rainfall","Quality"
"IDCJAC0001",66006,1968,1,132.7,"Y"
"IDCJAC0001",66006,1968,2,20.2,"Y"
"IDCJAC0001",66006,1968,3,115.4,"Y"
"IDCJAC0001",66006,1968,4,16,"Y"
"IDCJAC0001",66006,1968,5,116.7,"Y"
"IDCJAC0001",66006,1968,6,23.9,"Y"
"IDCJAC0001",66006,1968,7,64.3,"Y"
"IDCJAC0001",66006,1968,8,28.7,"Y"
"IDCJAC0001",66006,1968,9,5.1,"Y"
"IDCJAC0001",66006,1968,10,4.4,"Y"
"IDCJAC0001",66006,1968,11,18.1,"Y"
"IDCJAC0001",66006,1968,12,86.9,"Y"
"IDCJAC0001",66006,1969,1,53,"Y"
"IDCJAC0001",66006,1969,2,251.2,"Y"
"IDCJAC0001",66006,1969,3,100.8,"Y"
"IDCJAC0001",66006,1969,4,186.5,"Y"
"IDCJAC0001",66006,1969,5,49.4,"Y"
"IDCJAC0001",66006,1969,6,204,"Y"
"IDCJAC0001",66006,1969,7,51,"Y"
"IDCJAC0001",66006,1969,8,164.7,"Y"
"IDCJAC0001",66006,1969,9,85.3,"Y"
"IDCJAC0001",66006,1969,10,42.9,"Y"
"IDCJAC0001",66006,1969,11,248,"Y"
"IDCJAC0001",66006,1969,12,35.5,"Y"
"IDCJAC0001",66006,1970,1,142.8,"Y"
"IDCJAC0001",66006,1970,2,49.3,"Y"
"IDCJAC0001",66006,1970,3,203.4,"Y"
"IDCJAC0001",66006,1970,4,58.5,"Y"
"IDCJAC0001",66006,1970,5,10.6,"Y"
"IDCJAC0001",66006,1970,6,40.7,"Y"
"IDCJAC0001",66006,1970,7,1.8,"Y"
"IDCJAC0001",66006,1970,8,34.4,"Y"
"IDCJAC0001",66006,1970,9,165.4,"Y"
"IDCJAC0001",66006,1970,10,20.3,"Y"
"IDCJAC0001",66006,1970,11,127.5,"Y"
"IDCJAC0001",66006,1970,12,274.4,"Y"
"IDCJAC0001",66006,1971,1,132.2,"Y"
"IDCJAC0001",66006,1971,2,181.2,"Y"
"IDCJAC0001",66006,1971,3,78.2,"Y"
"IDCJAC0001",66006,1971,4,84.6,"Y"
"IDCJAC0001",66006,1971,5,114.6,"Y"
"IDCJAC0001",66006,1971,6,70.2,"Y"
"IDCJAC0001",66006,1971,7,19.6,"Y"
"IDCJAC0001",66006,1971,8,180.6,"Y"
"IDCJAC0001",66006,1971,9,54.6,"Y"
"IDCJAC0001",66006,1971,10,2.5,"Y"
"IDCJAC0001",66006,1971,11,76,"Y"
"IDCJAC0001",66006,1971,12,129.5,"Y"
"IDCJAC0001",66006,1972,1,400.7,"Y"
"IDCJAC0001",66006,1972,2,110.3,"Y"
"IDCJAC0001",66006,1972,3,201,"Y"
"IDCJAC0001",66006,1972,4,70.6,"Y"
"IDCJAC0001",66006,1972,5,96.3,"Y"
"IDCJAC0001",66006,1972,6,112,"Y"
"IDCJAC0001",66006,1972,7,4.1,"Y"
"IDCJAC0001",66006,1972,8,34.9,"Y"
"IDCJAC0001",66006,1972,9,11.1,"Y"
"IDCJAC0001",66006,1972,10,170,"Y"
"IDCJAC0001",66006,1972,11,63.5,"Y"
"IDCJAC0001",66006,1972,12,42.8,"Y"
"IDCJAC0001",66006,1973,1,279.8,"Y"
"IDCJAC0001",66006,1973,2,351.1,"Y"
"IDCJAC0001",66006,1973,3,108.5,"Y"
"IDCJAC0001",66006,1973,4,77.4,"Y"
"IDCJAC0001",66006,1973,5,28.5,"Y"
"IDCJAC0001",66006,1973,6,73.8,"Y"
"IDCJAC0001",66006,1973,7,107.6,"Y"
"IDCJAC0001",66006,1973,8,91.2,"Y"
"IDCJAC0001",66006,1973,9,72.6,"Y"
"IDCJAC0001",66006,1973,10,178.6,"Y"
"IDCJAC0001",66006,1973,11,121.8,"Y"
"IDCJAC0001",66006,1973,12,33.4,"Y"
"IDCJAC0001",66006,1974,1,200.6,"Y"
"IDCJAC0001",66006,1974,2,44,"Y"
"IDCJAC0001",66006,1974,3,284.6,"Y"
"IDCJAC0001",66006,1974,4,164.6,"Y"
"IDCJAC0001",66006,1974,5,229.5,"Y"
"IDCJAC0001",66006,1974,6,220.5,"Y"
"IDCJAC0001",66006,1974,7,17.4,"Y"
"IDCJAC0001",66006,1974,8,175.8,"Y"
"IDCJAC0001",66006,1974,9,46.4,"Y"
"IDCJAC0001",66006,1974,10,74.7,"Y"
"IDCJAC0001",66006,1974,11,115.2,"Y"
"IDCJAC0001",66006,1974,12,33.4,"Y"
"IDCJAC0001",66006,1975,1,47.6,"Y"
"IDCJAC0001",66006,1975,2,140,"Y"
"IDCJAC0001",66006,1975,3,388.6,"Y"
"IDCJAC0001",66006,1975,4,78,"Y"
"IDCJAC0001",66006,1975,5,18.6,"Y"
"IDCJAC0001",66006,1975,6,379.2,"Y"
"IDCJAC0001",66006,1975,7,49,"Y"
"IDCJAC0001",66006,1975,8,25.8,"Y"
"IDCJAC0001",66006,1975,9,49.6,"Y"
"IDCJAC0001",66006,1975,10,115,"Y"
"IDCJAC0001",66006,1975,11,32.2,"Y"
"IDCJAC0001",66006,1975,12,37.4,"Y"
"IDCJAC0001",66006,1976,1,293.6,"Y"
"IDCJAC0001",66006,1976,2,221,"Y"
"IDCJAC0001",66006,1976,3,304.3,"Y"
"IDCJAC0001",66006,1976,4,50.8,"Y"
"IDCJAC0001",66006,1976,5,22.9,"Y"
"IDCJAC0001",66006,1976,6,155.4,"Y"
"IDCJAC0001",66006,1976,7,153.4,"Y"
"IDCJAC0001",66006,1976,8,38,"Y"
"IDCJAC0001",66006,1976,9,135.4,"Y"
"IDCJAC0001",66006,1976,10,286,"Y"
