Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066006,1885,01,87.0,Y
IDCJAC0001,066006,1885,02,29.0,Y
IDCJAC0001,066006,1885,03,52.1,Y
IDCJAC0001,066006,1885,04,36.1,Y
IDCJAC0001,066006,1885,05,4.1,Y
IDCJAC0001,066006,1885,06,414.5,Y
IDCJAC0001,066006,1885,07,191.0,Y
IDCJAC0001,066006,1885,08,0.0,Y
IDCJAC0001,066006,1885,09,11.4,Y
IDCJAC0001,066006,1885,10,6.6,Y
IDCJAC0001,066006,1885,11,12.4,Y
IDCJAC0001,066006,1885,12,94.9,Y
IDCJAC0001,066006,1886,01,66.1,Y
IDCJAC0001,066006,1886,02,12.7,Y
IDCJAC0001,066006,1886,03,127.4,Y
IDCJAC0001,066006,1886,04,84.2,Y
IDCJAC0001,066006,1886,05,60.2,Y
IDCJAC0001,066006,1886,06,39.0,Y
IDCJAC0001,066006,1886,07,137.1,Y
IDCJAC0001,066006,1886,08,49.9,Y
IDCJAC0001,066006,1886,09,6.6,Y
IDCJAC0001,066006,1886,10,101.1,Y
IDCJAC0001,066006,1886,11,107.0,Y
IDCJAC0001,066006,1886,12,78.8,Y
IDCJAC0001,066006,1887,01,153.8,Y
IDCJAC0001,066006,1887,02,114.8,Y
IDCJAC0001,066006,1887,03,65.9,Y
IDCJAC0001,066006,1887,04,207.2,Y
IDCJAC0001,066006,1887,05,261.0,Y
IDCJAC0001,066006,1887,06,140.4,Y
IDCJAC0001,066006,1887,07,90.2,Y
IDCJAC0001,066006,1887,08,183.3,Y
IDCJAC0001,066006,1887,09,33.3,Y
IDCJAC0001,066006,1887,10,9.1,Y
IDCJAC0001,066006,1887,11,128.4,Y
IDCJAC0001,066006,1887,12,139.4,Y
IDCJAC0001,066006,1888,01,0.0,Y
IDCJAC0001,066006,1888,02,74.6,Y
IDCJAC0001,066006,1888,03,2.5,Y
IDCJAC0001,066006,1888,04,0.5,Y
IDCJAC0001,066006,1888,05,11.0,Y
IDCJAC0001,066006,1888,06,41.5,Y
IDCJAC0001,066006,1888,07,72.9,Y
IDCJAC0001,066006,1888,08,51.1,Y
IDCJAC0001,066006,1888,09,64.4,Y
IDCJAC0001,066006,1888,10,26.1,Y
IDCJAC0001,066006,1888,11,8.6,Y
IDCJAC0001,066006,1888,12,199.1,Y
IDCJAC0001,066006,1889,01,43.3,Y
IDCJAC0001,066006,1889,02,57.1,Y
IDCJAC0001,066006,1889,03,24.2,Y
IDCJAC0001,066006,1889,04,86.8,Y
IDCJAC0001,066006,1889,05,521.9,Y
IDCJAC0001,066006,1889,06,28.3,Y
IDCJAC0001,066006,1889,07,238.4,Y
IDCJAC0001,066006,1889,08,113.4,Y
IDCJAC0001,066006,1889,09,99.8,Y
IDCJAC0001,066006,1889,10,15.0,Y
IDCJAC0001,066006,1889,11,130.7,Y
IDCJAC0001,066006,1889,12,54.7,Y
IDCJAC0001,066006,1890,01,139.3,Y
IDCJAC0001,066006,1890,02,468.3,Y
IDCJAC0001,066006,1890,03,424.7,Y
IDCJAC0001,066006,1890,04,71.8,Y
IDCJAC0001,066006,1890,05,216.7,Y
